;type_A;type_B;min_levelset;max_levelset;w_number;m_a;eta_t;k;mt_a;sigma_a;threshold;eta_s;eta_a;z_score;p_value;distance_association;proba
48;B;Neutrophil;0;50.0;0;84615294.0;1.0;137.89021479713603;613642.484526447;;;0.0;-0.0;;;0.0;False
49;B;Neutrophil;50;100.0;1;998.0;9.0;1241.0119331742244;7.237641927443922;367.7462936801854;1863.9763438439388;0.0;0.0;0.6608140920804559;;0.0;False
50;B;Neutrophil;100;150.0;2;1180.0;6.0;827.3412887828163;8.557532539462752;399.23339427285555;2120.1227994794644;0.0;-0.0;-0.8833397112470998;;0.0;False
51;B;Neutrophil;150;200.0;3;1501.0;9.0;1241.0119331742244;10.885471476045417;448.9945675822561;2558.3014078527;0.0;-0.0;-0.5790450165705973;;0.0;False
52;B;Neutrophil;200;250.0;4;1620.0;14.0;1930.4630071599045;11.748476876211576;465.9599376389422;2717.251801333552;0.0;0.0;0.666286910271828;;0.0;False
53;B;Neutrophil;250;300.0;5;1844.0;20.0;2757.8042959427207;13.372957629465523;496.139290627196;3012.318746696357;0.0;0.0;1.8418301336052871;;0.0;False
54;B;Neutrophil;300;400.0;6;4397.0;35.0;4826.157517899761;31.88768692882858;748.4390486516182;6159.439274248724;0.0;0.0;0.5734034303433628;;0.0;False
55;B;Neutrophil;400;500.0;7;5137.0;26.0;3585.145584725537;37.25427513154251;803.3440594193102;7028.730694177126;0.0;-0.0;-1.9317431890841474;;0.0;False
56;B;Neutrophil;500;600.0;8;5411.0;22.0;3033.5847255369927;39.24136319579064;822.3416924785853;7347.466701313249;0.0;-0.0;-2.891030937878561;;0.0;False
57;B;Neutrophil;600;700.0;9;5606.0;32.0;4412.486873508353;40.65553170866796;835.4682565108212;7573.377397418741;0.0;-0.0;-1.4285559232090208;;0.0;False
58;B;Neutrophil;700;800.0;10;5667.0;27.0;3723.035799522673;41.09791262808086;839.5101751193241;7643.895388378427;0.0;-0.0;-2.3155933758647067;;0.0;False
59;B;Neutrophil;800;900.0;11;5417.0;44.0;6067.169451073985;39.28487607310994;822.7503543510179;7354.429026482094;0.0;0.0;0.7902390410841407;;0.0;False
60;B;Neutrophil;900;1000.0;12;4561.0;36.0;4964.047732696898;33.077038908889506;761.0970837436279;6353.246669014094;0.0;0.0;0.5295615254684939;;0.0;False
61;B;Neutrophil;1000;1100.0;13;3805.0;33.0;4550.377088305489;27.594416366657434;700.0846437061892;5453.573352217685;0.0;0.0;1.0646956693115361;;0.0;False
62;B;Neutrophil;1100;1200.0;14;3098.0;24.0;3309.365155131265;22.467148989199668;635.8285219364384;4595.261748658326;0.0;0.0;0.3324247778120191;;0.0;False
63;B;Neutrophil;1200;inf;15;6976.0;81.0;11169.10739856802;50.59097202990861;919.6616582376685;9141.637707464464;81.0;30.409027970091387;4.559402211682063;;0.0;False
64;B;T;0;50.0;0;84615294.0;32.0;592.1947469570788;4572295.552963168;;;0.0;-0.0;;;0.0;False
65;B;T;50;100.0;1;998.0;57.0;1054.8468930172967;53.92820548324564;134.7221070362222;1315.2463181577011;0.0;0.0;0.4219566800719089;;0.0;False
66;B;T;100;150.0;2;1180.0;69.0;1276.9199231262012;63.76280808640266;146.25725670110262;1524.4095198109935;0.0;0.0;0.6626674485237389;;0.0;False
67;B;T;150;200.0;3;1501.0;75.0;1387.9564381806533;81.10845333702575;164.48702606124527;1888.3373461165486;0.0;-0.0;-0.6872491072776519;;0.0;False
68;B;T;200;250.0;4;1620.0;95.0;1758.0781550288277;87.53877042370534;170.7022087563935;2021.9729829106132;0.0;0.0;0.8088832361031539;;0.0;False
69;B;T;250;300.0;5;1844.0;117.0;2165.2120435618194;99.64289670451399;181.75827130125043;2272.008020610358;0.0;0.0;1.7672485618518843;;0.0;False
70;B;T;300;400.0;6;4397.0;246.0;4552.497117232543;237.59751453890888;274.18708864057425;5042.661252419502;0.0;0.0;0.5671204942709058;;0.0;False
71;B;T;400;500.0;7;5137.0;294.0;5440.789237668161;277.58436028800884;294.3012784083241;5830.026549674156;0.0;0.0;1.0322389332154824;;0.0;False
72;B;T;500;600.0;8;5411.0;263.0;4867.100576553491;292.3903004707837;301.2609709964766;6120.41537328799;0.0;-0.0;-1.8054095147056741;;0.0;False
73;B;T;600;700.0;9;5606.0;335.0;6199.5387572069185;302.92737468845195;306.069825347859;6326.739359908261;0.0;0.0;1.9392266340935145;;0.0;False
74;B;T;700;800.0;10;5667.0;324.0;5995.971812940423;306.22358764885075;307.55056302153355;6391.226230663661;0.0;0.0;1.0696511484434816;;0.0;False
75;B;T;800;900.0;11;5417.0;290.0;5366.764894298527;292.7145181390197;301.4106823313443;6126.767916540305;0.0;-0.0;-0.1666666400570666;;0.0;False
76;B;T;900;1000.0;12;4561.0;254.0;4700.545803971813;246.45946413735808;278.82429964131114;5217.581049837076;0.0;0.0;0.5004793490069898;;0.0;False
77;B;T;1000;1100.0;13;3805.0;219.0;4052.832799487508;205.6080379396289;256.4726821851383;4408.9470130124155;0.0;0.0;0.9663126590168639;;0.0;False
78;B;T;1100;1200.0;14;3098.0;130.0;2405.7911595131327;167.40438936582663;232.93275734139448;3646.5147261318457;0.0;-0.0;-2.97171101388862;;0.0;False
79;B;T;1200;inf;15;6976.0;322.0;5958.959641255606;376.9570756023262;336.9136779552555;7769.3710822941375;0.0;-0.0;-3.0186971479367024;;0.0;False
80;B;Tumor;0;50.0;0;84615294.0;178.0;362.30854324467145;41570983.11046109;;;0.0;-0.0;;;1073.5845497256773;False
81;B;Tumor;50;100.0;1;998.0;344.0;700.1917914391404;490.31137496538355;44.679763599659665;1103.2128029317228;0.0;-0.0;-6.665393560030566;;1073.5845497256773;False
82;B;Tumor;100;150.0;2;1180.0;523.0;1064.5357759379954;579.7268762115757;48.50532550224318;1294.2213127834332;0.0;-0.0;-2.380444268055986;;1073.5845497256773;False
83;B;Tumor;150;200.0;3;1501.0;692.0;1408.5253478950149;737.43223829964;54.55111712030703;1629.45806407373;0.0;-0.0;-1.6951926374127504;;1073.5845497256773;False
84;B;Tumor;200;250.0;4;1620.0;841.0;1711.8060947683637;795.8962198836887;56.61234448422627;1753.3118835876533;0.0;0.0;1.6216621234251007;;1073.5845497256773;False
85;B;Tumor;250;300.0;5;1844.0;973.0;1980.4843403205919;905.9460675713099;60.27902007084284;1985.9462447576436;0.0;0.0;2.2642096729540198;;1073.5845497256773;False
86;B;Tumor;300;400.0;6;4397.0;1940.0;3948.7560331160826;2160.219554832456;90.93247256922736;4611.129609150244;0.0;-0.0;-4.929415798549489;;1073.5845497256773;False
87;B;Tumor;400;500.0;7;5137.0;1867.0;3800.1688215606837;2523.777087371919;97.60322070101041;5366.838020566319;0.0;-0.0;-13.696588789159465;;1073.5845497256773;False
88;B;Tumor;500;600.0;8;5411.0;2211.0;4500.360612999824;2658.3916332040985;99.91136022173028;5646.273273776438;0.0;-0.0;-9.114472918587246;;1073.5845497256773;False
89;B;Tumor;600;700.0;9;5606.0;2502.0;5092.674017967236;2754.193955967876;101.50618738359462;5845.028804745556;0.0;-0.0;-5.0570905603309795;;1073.5845497256773;False
90;B;Tumor;700;800.0;10;5667.0;2476.0;5039.752545358464;2784.162887704237;101.99726498524689;5907.1852041255925;0.0;-0.0;-6.149649745336432;;1073.5845497256773;False
91;B;Tumor;800;900.0;11;5417.0;2614.0;5320.6434384357935;2661.3393969814456;99.96101107115085;5652.390192591906;0.0;-0.0;-0.9639414460866268;;1073.5845497256773;False
92;B;Tumor;900;1000.0;12;4561.0;2408.0;4901.3425400739825;2240.7917647466074;92.47037526265063;4778.751093240024;2408.0;167.20823525339256;3.6805575743288776;;1073.5845497256773;False
93;B;Tumor;1000;1100.0;13;3805.0;2294.0;4669.302237097058;1869.373528800886;85.057597909463;4005.295336539386;2294.0;424.6264711991139;10.161376036236515;;1073.5845497256773;False
94;B;Tumor;1100;1200.0;14;3098.0;1935.0;3938.5788268451647;1522.028697036832;77.25072567215864;3279.911557305986;1935.0;412.971302963168;10.881177096153953;;1073.5845497256773;False
