;type_A;type_B;min_levelset;max_levelset;w_number;m_a;eta_t;k;mt_a;sigma_a;threshold;eta_s;eta_a;z_score;p_value;distance_association;proba
95;B;Tumor;1200;inf;15;6976.0;4587.0;9336.569032939933;3427.266685128773;111.7353626341769;7239.116671669762;4587.0;1159.7333148712269;21.126427455813324;;1073.5845497256773;False
96;B;Tumor_CD15;0;50.0;0;84615294.0;9.0;428.6760098928277;1776487.6700013846;;;0.0;-0.0;;;276.69976134256984;False
97;B;Tumor_CD15;50;100.0;1;998.0;25.0;1190.7666941467437;20.952887011908057;216.1349079478732;1506.958813666571;0.0;0.0;0.8918813530724737;;276.69976134256984;False
98;B;Tumor_CD15;100;150.0;2;1180.0;33.0;1571.8120362737016;24.773954583217947;234.64076838779005;1732.5367847810323;0.0;0.0;1.6698378502842057;;276.69976134256984;False
99;B;Tumor_CD15;150;200.0;3;1501.0;27.0;1286.028029678483;31.513310024923843;263.8868187149723;2122.405970329465;0.0;-0.0;-0.8146370150974118;;276.69976134256984;False
100;B;Tumor_CD15;200;250.0;4;1620.0;24.0;1143.1360263808738;34.011700360011076;273.8578469986519;2264.885947601444;0.0;-0.0;-1.7412828547559336;;276.69976134256984;False
101;B;Tumor_CD15;250;300.0;5;1844.0;64.0;3048.3627370156637;38.7145527554694;291.5951071482137;2530.6540033455613;64.0;25.2854472445306;4.130257015607272;;276.69976134256984;False
102;B;Tumor_CD15;300;400.0;6;4397.0;70.0;3334.146743610882;92.314473137635;439.87881771988975;5432.835457351312;0.0;-0.0;-2.416241049974659;;276.69976134256984;False
103;B;Tumor_CD15;400;500.0;7;5137.0;90.0;4286.760098928277;107.85068194405982;472.1480469469074;6248.823685172792;0.0;-0.0;-1.800790888725907;;276.69976134256984;False
104;B;Tumor_CD15;500;600.0;8;5411.0;73.0;3477.0387469084912;113.60327817779009;483.3134937319804;6549.116303074007;0.0;-0.0;-4.001463394200162;;276.69976134256984;False
105;B;Tumor_CD15;600;700.0;9;5606.0;114.0;5429.896125309151;117.69727914705068;491.02834703583585;6762.2833942784;0.0;-0.0;-0.3586429902752572;;276.69976134256984;False
106;B;Tumor_CD15;700;800.0;10;5667.0;117.0;5572.78812860676;118.97796662974245;493.40389703156546;6828.877387026317;0.0;-0.0;-0.19094269818305137;;276.69976134256984;False
107;B;Tumor_CD15;800;900.0;11;5417.0;96.0;4572.544105523495;113.72924743838271;483.5536758839094;6555.681888819829;0.0;-0.0;-1.746353996653807;;276.69976134256984;False
108;B;Tumor_CD15;900;1000.0;12;4561.0;106.0;5048.850783182193;95.757632927167;447.3183033011957;5614.35410712289;0.0;0.0;1.0906121649435498;;276.69976134256984;False
109;B;Tumor_CD15;1000;1100.0;13;3805.0;72.0;3429.408079142622;79.88550609249515;411.4595649867993;4773.91323135063;0.0;-0.0;-0.9128282650797732;;276.69976134256984;False
110;B;Tumor_CD15;1100;1200.0;14;3098.0;83.0;3953.3454245671887;65.04212821932983;373.6944230874488;3977.983118202601;0.0;0.0;2.288889990651608;;276.69976134256984;False
111;B;Tumor_CD15;1200;inf;15;6976.0;210.0;10002.440230832646;146.46026031570202;540.5111928041626;8248.80659137883;210.0;63.539739684297984;5.599218427155092;;276.69976134256984;False
112;B;other;0;50.0;0;84615294.0;217.0;483.2668542574105;37994575.12188452;;;0.0;-0.0;;;1147.7889411429824;False
113;B;other;50;100.0;1;998.0;376.0;837.3656092202135;448.1292232068679;46.735319717375454;1108.053267681406;0.0;-0.0;-3.437109059084176;;1147.7889411429824;False
114;B;other;100;150.0;2;1180.0;472.0;1051.161083914736;529.8521877596233;50.736882040261456;1299.4762268507784;0.0;-0.0;-2.53935423116907;;1147.7889411429824;False
115;B;other;150;200.0;3;1501.0;644.0;1434.2113094090892;673.9899439213515;57.06081890677153;1635.3679601475465;0.0;-0.0;-1.1704825109508705;;1147.7889411429824;False
116;B;other;200;250.0;4;1620.0;758.0;1688.0934356088349;727.4241899750762;59.21687596934074;1759.445086536715;0.0;0.0;1.1498991544925454;;1147.7889411429824;False
117;B;other;250;300.0;5;1844.0;851.0;1895.2078017191536;828.0063001938521;63.05224218514869;1992.4766837817342;0.0;0.0;0.8121487824141976;;1147.7889411429824;False
118;B;other;300;400.0;6;4397.0;2050.0;4565.4241992059515;1974.3729403212405;95.11595039519602;4620.980946592777;0.0;0.0;1.7707250835024828;;1147.7889411429824;False
119;B;other;400;500.0;7;5137.0;2182.0;4859.39297691092;2306.6531258654113;102.09359578934804;5377.412045834044;0.0;-0.0;-2.7191423805061454;;1147.7889411429824;False
120;B;other;500;600.0;8;5411.0;2477.0;5516.3686543576305;2429.686599972307;104.50792455392491;5657.0973556041645;0.0;0.0;1.0082360242764312;;1147.7889411429824;False
121;B;other;600;700.0;9;5606.0;2433.0;5418.379061789307;2517.2469191359733;106.17612400930994;5856.025665120815;0.0;-0.0;-1.7670727761190577;;1147.7889411429824;False
122;B;other;700;800.0;10;5667.0;2334.0;5197.902478510581;2544.6375830794796;106.68979433498363;5918.235266300248;0.0;-0.0;-4.396835933684066;;1147.7889411429824;False
123;B;other;800;900.0;11;5417.0;2206.0;4912.84184558455;2432.380763638881;104.5598596613418;5663.219653436151;0.0;-0.0;-4.821717971393267;;1147.7889411429824;False
124;B;other;900;1000.0;12;4561.0;2079.0;4630.008248853255;2048.013413874273;96.72460649094799;4788.769042212615;0.0;0.0;0.7134508100553859;;1147.7889411429824;False
125;B;other;1000;1100.0;13;3805.0;1786.0;3977.4866437960145;1708.5487918859042;88.97079376492043;4014.510208579949;0.0;0.0;1.9386883773540398;;1147.7889411429824;False
